ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country
1386,1967,Bachelor,Living Together,32474.0,1,1,05/11/2014,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,AUS
5371,1989,Bachelor,Single,21474.0,1,0,04/08/2014,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,1,0,SP
4047,1954,PhD,Married,65324.0,0,1,01/11/2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,US
9477,1954,PhD,Married,65324.0,0,1,01/11/2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,IND
5642,1979,Master,Living Together,62499.0,1,0,12/09/2013,0,140,4,61,0,13,4,2,3,1,6,4,0,0,0,0,0,0,0,SP
10530,1959,PhD,Widow,67786.0,0,0,12/07/2013,0,431,82,441,80,20,102,1,3,6,6,1,0,0,0,0,0,1,0,IND
10311,1969,Bachelor,Married,4428.0,0,1,10/05/2013,0,16,4,12,2,4,321,0,25,0,0,1,0,0,0,0,0,0,0,SP
837,1977,Bachelor,Married,54809.0,1,1,09/11/2013,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,0,0,SP
10521,1977,Bachelor,Married,54809.0,1,1,09/11/2013,0,63,6,57,13,13,22,4,2,1,5,4,0,0,0,0,0,1,0,SP
10175,1958,PhD,Divorced,32173.0,0,1,08/01/2013,0,18,0,2,0,0,2,1,1,0,3,4,0,0,0,0,0,0,0,SP
2795,1958,Master,Single,30523.0,2,1,07/01/2013,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,CA
4065,1976,PhD,Married,49544.0,1,0,02/12/2013,0,308,0,73,0,0,23,2,5,1,8,7,0,0,0,0,0,0,0,SP
5824,1972,PhD,Living Together,34578.0,2,1,04/11/2014,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,AUS
7962,1987,PhD,Single,95169.0,0,0,10/09/2013,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,SP
2681,1984,Master,Married,65370.0,0,0,08/01/2013,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,SP
10141,1960,Master,Divorced,39228.0,0,0,05/10/2013,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,SA
3725,1961,PhD,Single,84865.0,0,0,05/09/2013,1,1248,16,349,43,16,16,1,2,4,9,4,0,1,1,1,1,1,0,SP
1524,1983,Master,Single,81698.0,0,0,03/01/2013,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,SP
9595,1961,Bachelor,Living Together,64260.0,0,0,01/11/2013,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,SP
3158,1973,Bachelor,Married,32300.0,1,0,01/03/2013,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,SP
8805,1960,Bachelor,Single,48904.0,0,1,12/02/2012,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,US
1402,1954,Master,Married,66991.0,0,0,09/11/2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,GER
7264,1978,Master,Single,52195.0,2,1,05/12/2014,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SA
1857,1952,Bachelor,Single,47139.0,1,1,03/06/2014,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,SP
4877,1973,Master,Married,38576.0,0,1,03/04/2014,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,IND
3066,1975,PhD,Living Together,61905.0,0,1,02/04/2014,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,SA
10286,1962,Bachelor,Married,83715.0,0,0,02/03/2014,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,SA
1992,1964,Bachelor,Married,60597.0,0,1,01/01/2014,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,SP
4246,1982,Master,Single,6560.0,0,0,12/12/2013,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,SP
3112,1977,Master,Married,22701.0,1,0,09/05/2013,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,SP
1772,1975,PhD,Married,79174.0,0,0,01/11/2013,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,CA
5341,1962,Master,Divorced,81975.0,0,1,01/05/2013,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,SA
3887,1970,Bachelor,Single,27242.0,1,0,11/11/2012,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,IND
10352,1963,Bachelor,Widow,34213.0,1,1,09/07/2012,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,SA
4114,1964,Master,Married,79143.0,0,0,08/11/2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,AUS
7990,1947,Bachelor,Married,27469.0,0,0,08/02/2012,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,CA
8461,1962,Bachelor,Divorced,46102.0,2,1,03/10/2014,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP
9612,1987,Master,Single,23830.0,0,0,02/07/2014,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,SP
3896,1984,Bachelor,Married,27255.0,1,0,11/07/2013,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,SP
10914,1970,Bachelor,Single,24163.0,1,1,10/12/2013,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,SP
10582,1979,Bachelor,Married,72063.0,0,1,07/03/2013,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,GER
4470,1962,Master,Married,58646.0,0,1,06/10/2013,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,SP
6183,1962,Master,Married,58646.0,0,1,06/10/2013,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,GER
4827,1956,PhD,Single,54998.0,0,1,03/10/2013,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,SP
6715,1948,PhD,Single,60200.0,0,1,01/02/2013,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,SP
10676,1982,Bachelor,Married,63211.0,0,0,11/02/2012,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,SP
4491,1949,Master,Married,62845.0,1,1,10/01/2012,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,0,0,SP
873,1949,Master,Married,62845.0,1,1,10/01/2012,3,1099,0,45,0,0,34,11,3,4,10,8,0,1,0,0,0,1,0,SP
1631,1965,PhD,Living Together,65220.0,0,0,09/03/2012,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,GER
9504,1949,Master,Married,81698.0,0,0,11/06/2013,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,SP
850,1968,Bachelor,Single,70566.0,0,1,10/06/2013,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,SP
7685,1978,Bachelor,Married,33039.0,1,0,09/09/2013,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,SP
6310,1978,Bachelor,Married,33039.0,1,0,09/09/2013,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,CA
3025,1958,Bachelor,Single,49967.0,0,1,07/08/2013,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,CA
8581,1971,Master,Married,49505.0,1,1,03/05/2013,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,SP
8920,1967,Master,Single,59235.0,1,0,01/12/2013,4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0,IND
6365,1987,Master,Married,30390.0,0,0,09/02/2013,5,10,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,0,IND
1031,1989,Master,Married,85710.0,0,0,05/05/2013,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,IND
10089,1974,Bachelor,Divorced,102692.0,0,0,04/05/2013,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,1,0,SA
9256,1971,Bachelor,Single,58350.0,0,1,01/04/2013,5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0,SP
624,1984,Master,Single,18890.0,0,0,11/10/2012,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,1,0,SA
9323,1949,Master,Living Together,49912.0,0,1,09/07/2012,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,ME
1146,1949,Master,Living Together,49912.0,0,1,09/07/2012,5,520,8,223,32,49,42,4,10,5,7,8,1,0,0,0,0,1,0,AUS
8275,1965,PhD,Divorced,47025.0,1,1,02/09/2014,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP
10451,1965,Bachelor,Living Together,29672.0,1,1,03/12/2013,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SA
4198,1965,Bachelor,Living Together,29672.0,1,1,03/12/2013,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SP
944,1962,Bachelor,Married,56181.0,0,1,01/08/2013,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,SP
6184,1969,PhD,Married,68462.0,0,0,12/12/2012,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,SP
7342,1961,Master,Widow,59184.0,0,1,09/09/2012,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0,SP
1911,1987,Bachelor,Living Together,67430.0,0,0,09/05/2012,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,0,GER
3005,1992,Bachelor,Single,83528.0,0,0,05/01/2014,7,530,117,678,134,44,147,1,4,10,8,1,1,0,0,1,0,1,0,SP
8318,1979,Bachelor,Living Together,90300.0,0,0,01/03/2014,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,SP
8216,1972,Master,Married,53761.0,1,1,10/11/2013,7,158,0,76,13,7,71,6,4,4,3,5,0,0,0,0,0,0,0,AUS
2541,1976,Bachelor,Married,24027.0,1,0,06/09/2013,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0,SP
10659,1979,Master,Living Together,7500.0,1,0,05/07/2013,7,2,8,11,3,8,21,4,3,2,2,7,0,0,0,0,0,0,0,IND
7349,1973,High School,Living Together,9722.0,1,0,10/02/2012,7,6,17,16,6,16,42,4,3,1,3,8,0,0,0,0,0,1,0,SP
7872,1975,PhD,Married,86836.0,0,0,09/12/2012,7,179,21,273,0,21,63,1,6,10,6,5,1,0,1,1,0,1,0,SP
7408,1952,PhD,Married,54549.0,0,1,03/03/2014,8,216,2,6,0,0,9,2,5,1,4,7,0,0,0,0,0,0,0,SA
7284,1953,Bachelor,Married,48686.0,1,2,12/04/2013,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SP
9930,1944,PhD,Single,82716.0,0,0,11/05/2013,8,606,148,228,15,148,22,1,6,8,13,2,0,0,0,0,0,0,0,CA
10270,1981,Master,Married,35523.0,1,0,10/03/2013,8,11,5,22,12,5,11,2,3,0,3,7,0,0,0,0,0,0,0,GER
760,1975,PhD,Divorced,60554.0,1,0,08/09/2013,8,588,7,76,110,15,15,2,8,4,9,6,0,0,0,0,0,0,0,SA
5519,1956,Bachelor,Living Together,64090.0,0,1,08/07/2013,8,316,58,161,76,51,135,1,6,9,4,5,0,0,0,0,0,1,0,SA
3009,1962,PhD,Widow,71670.0,0,0,07/09/2013,8,1462,16,128,0,0,160,1,5,3,6,6,0,1,1,0,1,1,0,SP
6518,1951,PhD,Widow,67680.0,0,1,06/11/2013,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,AUS
9723,1960,Bachelor,Married,67716.0,0,1,01/10/2013,8,530,142,217,62,9,56,4,7,4,13,5,0,1,0,0,0,0,0,CA
7261,1971,Bachelor,Living Together,34600.0,1,1,01/01/2013,8,199,33,60,8,3,15,5,5,2,5,8,0,0,0,0,0,1,0,SP
2452,1971,Bachelor,Living Together,34600.0,1,1,01/01/2013,8,199,33,60,8,3,15,5,5,2,5,8,0,0,0,0,0,1,0,SP
5621,1969,Bachelor,Married,48752.0,1,1,12/12/2012,8,73,57,100,71,15,0,5,6,1,5,9,0,0,0,0,0,1,0,SP
10995,1988,Master,Married,15716.0,1,0,11/12/2012,8,16,5,30,8,7,26,3,3,0,4,8,0,0,0,0,0,0,1,SA
5331,1977,Bachelor,Married,74985.0,0,0,09/11/2012,8,587,51,898,247,0,86,1,3,6,7,2,0,0,0,0,0,0,0,GER
10232,1963,PhD,Divorced,48799.0,0,1,11/05/2013,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,SP
5547,1982,PhD,Married,84169.0,0,0,08/07/2013,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,1,0,SP
8362,1982,PhD,Married,84169.0,0,0,08/07/2013,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,1,0,SA
3524,1971,Master,Single,39763.0,1,0,08/04/2013,9,80,1,60,4,6,16,2,5,1,2,9,0,0,0,0,0,1,0,SP
10095,1975,PhD,Divorced,74165.0,0,0,05/01/2013,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,CA
466,1944,Bachelor,Married,65275.0,0,0,04/03/2013,9,388,14,218,91,14,21,1,4,3,13,2,0,0,0,0,0,0,0,SP
11025,1961,Bachelor,Married,36443.0,1,1,02/03/2013,9,65,0,46,4,3,20,4,3,1,3,8,0,0,0,0,0,0,0,SP
2387,1952,Master,Living Together,43776.0,1,1,02/03/2013,9,177,2,71,3,2,20,6,5,2,4,8,0,0,0,0,0,1,0,SA
1618,1965,Bachelor,Living Together,56046.0,0,0,01/02/2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,1,0,GER
3277,1955,Bachelor,Divorced,49431.0,0,1,08/03/2012,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,SP
8159,1968,Bachelor,Married,51287.0,1,1,04/01/2014,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,SP
9597,1969,Bachelor,Married,73448.0,0,0,02/10/2014,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,CA
11003,1980,Master,Living Together,25130.0,1,0,10/02/2013,10,2,5,7,0,18,18,2,2,0,3,7,0,0,0,0,0,0,0,CA
977,1957,Bachelor,Living Together,47320.0,0,1,08/01/2013,10,200,19,111,50,15,19,6,5,1,8,6,0,0,0,0,0,0,0,CA
5074,1986,Master,Married,28072.0,1,0,07/08/2013,10,30,0,10,2,0,5,1,1,0,3,7,0,0,0,0,0,0,0,CA
2521,1971,Master,Married,35178.0,1,0,01/10/2013,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,1,0,SP
4301,1971,Master,Married,35178.0,1,0,01/10/2013,10,23,1,13,2,2,18,1,1,1,2,7,1,0,0,0,0,1,0,AUS
7381,1968,Bachelor,Divorced,75693.0,0,0,12/06/2012,10,797,153,293,72,97,30,1,11,4,6,4,0,1,1,1,0,1,0,SP
2407,1982,Bachelor,Married,69109.0,0,0,11/09/2012,10,823,25,459,124,29,95,1,6,6,7,4,0,0,1,0,0,1,0,US
9064,1982,Bachelor,Married,69109.0,0,0,11/09/2012,10,823,25,459,124,29,95,1,6,6,7,4,0,0,1,0,0,1,0,SP
10281,1970,Bachelor,Divorced,64713.0,1,0,02/07/2014,11,180,60,241,13,54,54,2,5,5,7,4,0,0,0,0,0,1,0,AUS
11191,1986,Bachelor,Divorced,41411.0,0,0,12/07/2013,11,37,32,38,11,3,18,1,2,1,4,6,0,0,0,0,0,0,0,SP
4557,1970,Bachelor,Living Together,22070.0,1,0,10/04/2013,11,10,7,19,8,2,21,2,2,2,2,6,0,0,0,0,0,0,0,SA
4186,1950,Bachelor,Living Together,34026.0,1,1,08/05/2013,11,18,6,15,12,8,17,3,2,1,3,5,0,0,0,0,0,0,0,CA
1419,1950,Bachelor,Living Together,34026.0,1,1,08/05/2013,11,18,6,15,12,8,17,3,2,1,3,5,0,0,0,0,0,0,0,SP
9262,1984,Master,Living Together,32414.0,0,0,07/04/2013,11,20,6,5,0,9,12,1,1,0,3,7,1,0,0,0,0,0,0,SA
3427,1955,PhD,Married,59821.0,0,1,04/12/2013,11,629,0,70,0,0,35,6,11,2,7,8,0,0,0,0,0,0,0,SA
5892,1980,Bachelor,Married,34968.0,1,0,04/10/2013,11,158,6,45,8,2,2,7,3,2,5,7,0,0,0,0,0,0,0,SA
8911,1967,PhD,Married,56320.0,0,1,04/08/2013,11,201,53,172,116,77,83,3,5,4,9,4,0,0,0,0,0,0,0,SP
10490,1969,PhD,Married,51039.0,1,1,12/10/2012,11,100,64,79,65,0,109,2,6,2,4,7,0,0,0,0,0,0,0,AUS
2715,1966,Master,Divorced,29435.0,1,1,08/06/2012,11,70,3,37,4,2,64,4,3,2,2,9,0,0,0,0,0,1,0,CA
3312,1988,Bachelor,Single,34176.0,1,0,05/12/2014,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,IND
11176,1970,PhD,Living Together,65968.0,0,1,05/12/2014,12,376,9,83,19,4,4,2,5,4,7,3,0,0,0,0,0,0,0,CA
1446,1956,Master,Single,86424.0,0,0,04/05/2014,12,387,68,569,89,45,68,1,6,9,12,1,0,0,0,0,0,0,0,SA
7849,1970,PhD,Married,80336.0,0,0,09/09/2013,12,209,19,456,160,142,66,1,2,9,13,1,0,0,0,0,0,0,0,SP
4808,1956,Bachelor,Married,15759.0,0,0,09/05/2013,12,1,2,5,6,0,3,1,1,0,2,7,0,0,0,0,0,0,0,SP
10401,1976,Master,Living Together,26326.0,0,0,09/04/2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,0,1,GER
6853,1982,Master,Single,75777.0,0,0,07/04/2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,1,0,AUS
7366,1982,Master,Single,75777.0,0,0,07/04/2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,1,0,IND
7573,1978,PhD,Single,31626.0,1,0,05/10/2013,12,39,1,9,2,1,34,1,2,1,2,7,1,0,0,0,0,1,0,GER
1891,1980,Master,Divorced,78789.0,0,0,08/08/2012,12,667,50,850,21,83,83,1,4,6,5,2,0,0,0,0,0,1,0,SP
7002,1955,Bachelor,Single,62535.0,0,1,10/03/2013,13,163,48,90,0,45,52,1,3,2,8,3,0,0,0,0,0,0,0,SP
6116,1968,Master,Married,48985.0,0,1,07/05/2013,13,19,13,18,10,7,8,1,1,1,3,3,0,0,0,0,0,0,0,SP
3678,1973,Bachelor,Widow,60208.0,1,1,10/07/2012,13,488,23,71,15,0,59,11,8,3,7,7,0,1,0,0,0,1,0,SP
3698,1983,Bachelor,Living Together,78687.0,0,0,08/09/2012,13,817,185,687,145,55,241,1,4,6,8,2,0,0,1,0,0,1,0,SP
5929,1973,PhD,Married,37401.0,1,0,05/06/2014,14,19,3,19,3,1,3,2,2,0,3,7,0,0,0,0,0,0,0,SP
10795,1973,PhD,Married,37401.0,1,0,05/06/2014,14,19,3,19,3,1,3,2,2,0,3,7,0,0,0,0,0,0,0,IND
9362,1965,Bachelor,Single,69263.0,0,1,03/05/2014,14,492,5,32,13,5,21,1,9,1,7,6,0,1,0,0,0,0,0,CA
4609,1966,PhD,Married,57705.0,0,1,01/11/2014,14,383,0,53,6,4,40,3,8,1,6,6,0,0,0,0,0,0,0,SP
7143,1955,Master,Living Together,74805.0,0,1,11/06/2013,14,209,162,209,41,162,37,5,4,7,10,2,0,0,0,0,0,0,0,SP
1729,1961,PhD,Living Together,66426.0,0,1,10/02/2013,14,1043,24,97,32,24,157,2,3,5,10,6,0,0,0,0,0,0,0,SP
10664,1949,Master,Widow,51529.0,0,1,09/07/2013,14,400,4,35,6,0,22,2,9,1,5,8,0,0,0,0,0,0,0,SP
5029,1946,Bachelor,Married,18100.0,0,0,08/06/2013,14,3,1,2,4,3,1,1,0,0,3,5,0,0,0,0,0,0,0,SP
7042,1983,Bachelor,Married,36790.0,0,0,03/01/2013,14,3,3,14,15,21,10,1,2,1,2,9,0,0,0,0,0,1,0,SP
9668,1971,Bachelor,Married,18793.0,1,0,01/12/2013,14,4,16,20,0,17,20,3,2,0,4,8,0,0,0,0,0,0,0,SA
6878,1954,Bachelor,Widow,27421.0,0,0,12/12/2012,14,43,12,96,78,40,55,3,4,1,6,7,0,0,0,0,0,0,0,SP
4099,1972,Bachelor,Married,30675.0,1,0,11/12/2012,14,10,2,16,11,2,21,1,1,0,3,8,0,0,0,0,0,0,0,SP
1970,1968,Master,Living Together,34053.0,0,1,09/10/2012,14,63,0,21,7,0,12,1,3,0,3,8,0,0,0,0,0,0,0,SP
1307,1978,Bachelor,Divorced,41986.0,0,1,02/09/2014,15,27,5,8,8,3,12,3,3,0,4,4,0,0,0,0,0,0,0,SP
10609,1962,PhD,Married,42769.0,0,1,10/12/2013,15,71,0,13,3,1,0,2,1,1,4,4,0,0,0,0,0,0,0,CA
9493,1980,PhD,Single,76412.0,0,0,05/05/2013,15,840,53,804,23,71,17,1,5,4,8,3,0,0,1,1,0,1,0,CA
7393,1978,Bachelor,Living Together,41580.0,1,1,12/10/2012,15,56,5,24,4,0,3,3,2,1,3,5,0,0,0,0,0,0,0,SP
9725,1966,PhD,Living Together,28764.0,1,1,06/05/2014,16,8,0,3,0,0,1,1,1,0,2,8,1,0,0,0,0,0,0,SP
8933,1983,Master,Married,32146.0,1,0,05/12/2014,16,26,3,23,4,7,3,2,2,0,4,6,0,0,0,0,0,0,0,CA
9289,1979,Bachelor,Married,36781.0,1,0,04/10/2014,16,29,1,17,0,3,13,1,2,1,2,8,0,0,0,0,0,1,0,SP
2613,1960,Master,Married,54197.0,0,1,04/03/2014,16,162,6,37,6,13,13,2,1,3,6,1,0,0,0,0,0,0,0,SP
10133,1970,Bachelor,Single,93790.0,0,0,02/12/2014,16,1302,68,731,89,114,45,0,6,7,12,2,0,1,1,1,0,1,0,CA
8443,1972,Bachelor,Single,24762.0,1,0,02/10/2014,16,6,10,12,3,15,40,3,3,1,2,8,1,0,0,0,0,1,0,SA
6507,1980,Bachelor,Single,30828.0,1,0,10/04/2013,16,16,11,15,2,0,12,2,1,1,4,3,0,0,0,0,0,0,0,AUS
7446,1967,Master,Living Together,62513.0,0,1,09/09/2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,US
10477,1973,PhD,Living Together,39435.0,1,0,08/06/2013,16,71,0,18,0,0,13,1,3,1,2,7,0,0,0,0,0,0,0,SP
6072,1970,Master,Single,75345.0,0,0,02/02/2013,16,918,57,842,99,38,133,1,5,8,6,3,0,0,0,1,0,1,0,SP
1459,1966,PhD,Married,69063.0,0,1,11/07/2012,16,666,35,124,69,8,26,1,5,3,5,3,0,0,0,0,0,0,0,SP
9530,1988,Bachelor,Married,24645.0,1,0,11/01/2012,16,5,3,4,4,1,0,1,1,0,2,8,0,0,0,0,0,0,0,SA
9392,1971,Bachelor,Single,26954.0,1,0,05/08/2014,17,4,1,11,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP
10146,1972,PhD,Living Together,38887.0,1,0,03/02/2014,17,25,1,13,0,0,3,1,1,0,3,7,0,0,0,0,0,0,0,AUS
380,1954,Bachelor,Divorced,64497.0,0,1,09/10/2012,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,1,0,SA
1092,1980,Bachelor,Married,61014.0,0,1,08/11/2012,17,269,129,495,182,43,29,4,9,3,4,7,0,0,0,0,0,0,0,IND
1064,1971,PhD,Married,42403.0,1,0,12/11/2013,18,22,1,11,0,5,3,1,1,0,3,8,0,0,0,0,0,0,0,SP
1581,1980,Bachelor,Married,37406.0,1,0,10/10/2013,18,2,0,8,2,2,3,1,1,0,2,8,0,0,0,0,0,1,0,SP
9507,1975,Bachelor,Married,40794.0,0,1,04/07/2013,18,261,23,73,4,23,50,2,6,3,5,7,0,0,0,0,0,0,0,SP
9560,1965,Bachelor,Living Together,83003.0,0,0,03/03/2013,18,856,61,570,40,25,122,1,7,6,8,3,0,0,1,0,0,1,0,SP
10991,1960,Master,Married,89058.0,0,0,12/07/2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,CA
3076,1975,Bachelor,Living Together,66653.0,1,1,09/07/2012,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,AUS
10102,1966,Bachelor,Widow,79946.0,0,0,05/12/2014,19,395,183,565,166,141,28,1,5,11,5,3,0,0,0,0,0,0,0,SA
3711,1944,Master,Married,80184.0,0,0,03/01/2014,19,1035,134,670,25,38,0,1,6,3,10,3,0,0,1,1,0,0,0,SP
2727,1973,Bachelor,Living Together,57100.0,0,0,12/04/2013,19,181,21,69,39,3,96,1,3,3,6,3,0,0,0,0,0,0,0,SA
2139,1975,Master,Married,7500.0,1,0,10/02/2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,AUS
